mean,std,max,min,abs_mean,mean_first_10000,mean_first_50000,mean_last_10000,mean_last_50000,abs_std,std_first_10000,std_first_50000,std_last_10000,std_last_50000,median,abs_median,median_first_10000,median_first_50000,median_last_10000,median_last_50000,abs_max,max_first_10000,max_first_50000,max_last_10000,max_last_50000,abs_min,min_first_10000,min_first_50000,min_last_10000,min_last_50000,max_min,Quant5,Quant25,Quant75,Quant95,Quant99,IQR,Abs_Quant5,Abs_Quant25,Abs_Quant75,Abs_Quant95,Abs_Quant99,Abs_IQR,Sum,Abs_sum,MAD,Kurtosis,skew
4.8841133333333335,5.101106130606765,104.0,-98.0,5.5765666666666664,5.182,4.9621,4.899007142857143,5.01594,4.333324673993449,11.20715111094708,6.488551888989741,5.149568345326903,5.6802384252323135,5.0,5.0,5.0,5.0,5.0,5.0,104.0,104.0,104.0,104.0,104.0,0.0,-98.0,-98.0,-98.0,-98.0,-1.0612244606018066,-2.0,3.0,7.0,11.0,18.0,0.0,1.0,3.0,7.0,12.0,20.0,4.0,51820.0,836485.0,3.263401356801146,33.662481293451094,-0.024061166628208508
4.725766666666667,6.588823781946801,181.0,-154.0,5.734166666666667,4.7772,4.6984,4.712292857142857,4.69448,5.7327769655813805,3.9767501322262397,7.305232697765033,6.749068715608835,7.073147660255528,5.0,5.0,5.0,5.0,5.0,5.0,181.0,29.0,181.0,181.0,181.0,0.0,-23.0,-154.0,-154.0,-154.0,-1.1753246784210205,-2.0,2.0,7.0,12.0,21.0,0.0,1.0,3.0,7.0,12.0,24.0,4.0,47772.0,860125.0,3.574301851111739,98.75851717873692,0.39056050437183426
4.906393333333333,6.967397033524431,140.0,-106.0,6.152646666666667,4.6814,4.7061,4.8867714285714285,4.81588,5.895944714483795,8.454717160510244,6.104836457315087,6.750457481513978,5.98173700837611,5.0,5.0,5.0,5.0,5.0,5.0,140.0,97.0,97.0,140.0,97.0,0.0,-87.0,-87.0,-106.0,-87.0,-1.3207547664642334,-3.0,2.0,7.0,13.0,26.0,0.0,1.0,3.0,8.0,14.0,30.0,5.0,46814.0,922897.0,3.948411362132931,33.55521140692898,0.21739056144568455
4.90224,6.922305187180113,197.0,-199.0,5.93396,5.0364,4.84364,4.882935714285714,4.83663,6.061213600190591,6.866177209987221,6.238109475682244,7.0693010406357075,7.475954731142466,5.0,5.0,5.0,5.0,5.0,5.0,199.0,75.0,75.0,197.0,197.0,0.0,-48.0,-63.0,-199.0,-199.0,-0.9899497628211975,-2.0,2.0,7.0,12.0,22.0,0.0,1.0,3.0,8.0,13.0,26.0,5.0,50364.0,890094.0,3.64711706879902,116.54817168762838,0.7572775364110977
4.90872,7.301110189758817,145.0,-126.0,6.110586666666666,4.9405,4.89116,4.923021428571428,4.94855,6.32948531386119,5.164593599955883,5.323829516204886,6.915257056845845,7.0959429550669455,5.0,5.0,5.0,5.0,5.0,5.0,145.0,57.0,93.0,145.0,145.0,0.0,-44.0,-96.0,-125.0,-125.0,-1.1507936716079712,-2.0,2.0,7.0,12.0,26.0,0.0,1.0,3.0,8.0,13.0,32.0,5.0,49405.0,916588.0,3.8260516234662965,52.97790483440647,0.064531069271374
4.913513333333333,5.434111112860393,142.0,-144.0,5.695166666666666,4.7177,5.07078,4.942314285714286,5.03631,4.608383471480033,3.6645531248653627,4.442139669539542,5.426115140751484,5.56889232339045,5.0,5.0,5.0,5.0,5.0,5.0,144.0,24.0,53.0,142.0,142.0,0.0,-13.0,-50.0,-144.0,-144.0,-0.9861111044883728,-2.0,3.0,7.0,12.0,19.0,0.0,1.0,3.0,7.0,12.0,22.0,4.0,47177.0,854275.0,3.378387800799162,50.21514673016075,-0.10069659502439982
4.85566,5.687823395051908,120.0,-78.0,5.791006666666667,4.8148,4.90378,4.859842857142858,4.90136,4.732118384640393,3.213679158437154,5.944367789914116,5.804601333633947,5.831967958494173,5.0,5.0,5.0,5.0,5.0,5.0,120.0,24.0,107.0,120.0,120.0,0.0,-13.0,-70.0,-78.0,-78.0,-1.5384615659713745,-2.0,2.0,7.0,12.0,21.0,0.0,1.0,3.0,8.0,13.0,24.0,5.0,48148.0,868651.0,3.560798783733254,23.17300426459475,0.2088099177308339
4.505426666666667,5.854511569720713,139.0,-134.0,5.415,4.5663,4.50644,4.513642857142857,4.55675,5.025125870324054,7.915798778204868,6.069745905942625,5.990989564157885,5.133729929527838,5.0,5.0,5.0,5.0,5.0,5.0,139.0,94.0,103.0,139.0,103.0,0.0,-85.0,-89.0,-134.0,-89.0,-1.037313461303711,-2.0,2.0,7.0,11.0,20.0,0.0,1.0,3.0,7.0,12.0,24.0,4.0,45663.0,812250.0,3.3580427070220424,52.38873770372111,-0.17633298662819855
4.717833333333333,7.789643113079984,168.0,-156.0,6.1522733333333335,4.6858,4.60864,4.731235714285714,4.69336,6.714604982530446,12.923597807809937,9.288044073197225,7.994783175287069,8.547389220634853,5.0,5.0,5.0,5.0,5.0,5.0,168.0,132.0,168.0,168.0,168.0,0.0,-145.0,-156.0,-156.0,-156.0,-1.076923131942749,-3.0,2.0,7.0,13.0,26.0,0.0,1.0,3.0,8.0,14.0,31.0,5.0,46858.0,922841.0,4.149653904443955,65.3602609868411,-0.16016609357773748
4.73096,6.890459152667711,152.0,-126.0,5.92512,4.3961,4.55136,4.707528571428571,4.66562,5.895191091682558,4.012557146195571,9.012694753720137,7.067461867047036,7.680071604522871,5.0,5.0,4.0,5.0,5.0,5.0,152.0,32.0,152.0,152.0,152.0,0.0,-20.0,-126.0,-126.0,-126.0,-1.20634925365448,-3.0,2.0,7.0,12.0,23.0,0.0,1.0,3.0,7.0,13.0,28.0,4.0,43961.0,888768.0,3.8434566570668336,53.760207458489305,0.15077900025028984
