MRoll_mean_50,MRoll_std_50,MRoll_max_50,MRoll_min_50,MRoll_5quantile_50,MRoll_25quantile_50,MRoll_75quantile_50,MRoll_95quantile_50,MRoll_99quantile_50,Abs_MRoll_5quantile_50,Abs_MRoll_25quantile_50,Abs_MRoll_75quantile_50,Abs_MRoll_95quantile_50,Abs_MRoll_99quantile_50,SRoll_mean_50,SRoll_std_50,SRoll_max_50,SRoll_min_50,SRoll_5quantile_50,SRoll_25quantile_50,SRoll_75quantile_50,SRoll_95quantile_50,SRoll_99quantile_50,Abs_SRoll_5quantile_50,Abs_SRoll_25quantile_50,Abs_SRoll_75quantile_50,Abs_SRoll_95quantile_50,Abs_SRoll_99quantile_50,MRoll_mean_100,MRoll_std_100,MRoll_max_100,MRoll_min_100,MRoll_5quantile_100,MRoll_25quantile_100,MRoll_75quantile_100,MRoll_95quantile_100,MRoll_99quantile_100,Abs_MRoll_5quantile_100,Abs_MRoll_25quantile_100,Abs_MRoll_75quantile_100,Abs_MRoll_95quantile_100,Abs_MRoll_99quantile_100,SRoll_mean_100,SRoll_std_100,SRoll_max_100,SRoll_min_100,SRoll_5quantile_100,SRoll_25quantile_100,SRoll_75quantile_100,SRoll_95quantile_100,SRoll_99quantile_100,Abs_SRoll_5quantile_100,Abs_SRoll_25quantile_100,Abs_SRoll_75quantile_100,Abs_SRoll_95quantile_100,Abs_SRoll_99quantile_100
4.883969296636902,0.6060393561257619,12.82,-3.1,3.96,4.52,5.26,5.8,6.36,3.96,4.52,5.26,5.8,6.36,4.0117428065512755,3.1761479700994073,61.40492568157039,1.5591729885297392,2.3317681825472873,2.733092738705472,3.9877874792407777,8.3109222455409,17.430339478941825,2.3317681825472873,2.733092738705472,3.9877874792407777,8.3109222455409,17.430339478941825,4.883863549942963,0.4522938464293525,10.04,1.04,4.16,4.59,5.17,5.58,5.95,4.16,4.59,5.17,5.58,5.95,4.050449943320652,3.111524285420867,52.335254741797996,1.9354220691774684,2.4756388829528606,2.7863121421579233,4.018894767410026,8.195903140156636,16.948796924021416,2.4756388829528606,2.7863121421579233,4.018894767410026,8.195903140156636,16.948796924021416
4.725729338250496,0.7645066315823958,28.26,-13.3,3.82,4.38,5.08,5.64,6.32,3.82,4.38,5.08,5.64,6.34,4.379247743077628,4.9534718807085945,94.73008702495264,1.684139700444656,2.345990935487287,2.738687306588098,4.082941116112657,9.882947589637325,23.233020971030783,2.345990935487287,2.738687306588098,4.082941116112657,9.882947589637325,23.233020971030783,4.725623311385514,0.49621979175893616,16.67,-4.09,4.05,4.46,4.99,5.39,5.75,4.05,4.46,4.99,5.39,5.75,4.436358953659417,4.893430954489131,87.97261741099562,1.9913702708316665,2.4759652744740537,2.783265286774281,4.115246350493425,9.82992236680284,23.45727041566286,2.4759652744740537,2.783265286774281,4.115246350493425,9.82992236680284,23.45727041566286
4.906072250268421,0.8113089155141168,17.36,-7.72,3.88,4.52,5.28,5.94,7.14,3.88,4.52,5.28,5.94,7.14,4.84921925776416,5.035827166452931,65.43137860478296,1.697657449643369,2.4041630560348737,2.822938113356337,4.4327629933378105,13.127669792236633,29.448105367518032,2.4041630560348737,2.822938113356337,4.4327629933378105,13.127669792236633,29.448105367518032,4.906088151513332,0.5301514288350577,12.38,-1.55,4.14,4.62,5.19,5.66,6.26,4.14,4.62,5.19,5.66,6.26,4.917333917974993,4.959233301601424,53.35383223482093,1.96946385566957,2.538591035287758,2.8734064534041033,4.476650984877465,13.48526693256105,28.598375315864878,2.538591035287758,2.8734064534041033,4.476650984877465,13.48526693256105,28.598375315864878
4.902059206007296,0.9598339277730823,27.72,-18.86,3.92,4.54,5.28,5.88,6.84,3.94,4.54,5.28,5.88,6.92,4.475838618184793,5.285204082958746,113.36846194275245,1.6324515181733497,2.3685007744071798,2.7485803385661716,4.150682265038921,10.503575676017597,25.757986382456966,2.3685007744071798,2.7485803385661716,4.150682265038921,10.503575676017597,25.757986382456966,4.901946217837106,0.5818743003022908,18.26,-9.37,4.16,4.62,5.19,5.61,6.09,4.16,4.62,5.19,5.61,6.09,4.533343221511053,5.247129605841999,103.99666418504084,1.955334583474206,2.4964419124468664,2.800054112031086,4.173642645134606,10.367489979973232,26.380301420383734,2.4964419124468664,2.800054112031086,4.173642645134606,10.367489979973232,26.380301420383734
4.908957859567458,0.9039582148417018,19.98,-8.82,3.94,4.54,5.26,5.92,7.5,3.94,4.54,5.26,5.92,7.5,4.700726516904934,5.610382979463277,83.8455918060462,1.6288220358560908,2.3650516670374104,2.7550325010121965,4.130523512800053,11.818810649795614,33.89315363895547,2.3650516670374104,2.7550325010121965,4.130523512800053,11.818810649795614,33.89315363895547,4.90917478869387,0.5662665912138416,14.41,-1.97,4.21,4.63,5.16,5.63,6.48,4.21,4.63,5.16,5.63,6.48,4.761149253538696,5.556923976801867,74.46012762586837,1.9811230362720886,2.4915209747614253,2.8026682812896335,4.151475337123756,12.413820092659988,34.718195968585825,2.4915209747614253,2.8026682812896335,4.151475337123756,12.413820092659988,34.718195968585825
4.913500676887784,0.6370614580894011,12.32,-6.1,3.98,4.54,5.28,5.86,6.42,3.98,4.54,5.28,5.86,6.42,4.165988950766022,3.516831041742432,83.98200973532172,1.7567363060455035,2.3826755669084685,2.7810583802368587,4.035353966215766,9.08491685195121,20.29518892987157,2.3826755669084685,2.7810583802368587,4.035353966215766,9.08491685195121,20.29518892987157,4.913510583651877,0.4656140407212523,9.78,-0.82,4.19,4.62,5.21,5.64,6.0,4.19,4.62,5.21,5.64,6.0,4.213953547184699,3.4442230568623686,65.41217876904217,1.9859099636788882,2.51819640443574,2.8302121846428623,4.072524345593722,9.154537429906304,20.535399345097396,2.51819640443574,2.8302121846428623,4.072524345593722,9.154537429906304,20.535399345097396
4.855696060713167,0.616464405641671,12.34,-3.1,3.96,4.52,5.2,5.76,6.48,3.96,4.52,5.2,5.76,6.48,4.37572088336156,3.672137287014986,49.108376607878455,1.63893942809874,2.3733211036909134,2.761912972072711,4.247880624019287,10.810897742501332,20.966466165876046,2.3733211036909134,2.761912972072711,4.247880624019287,10.810897742501332,20.966466165876046,4.855708834497434,0.4263991120367732,9.25,-0.11,4.19,4.6,5.11,5.51,5.94,4.19,4.6,5.11,5.51,5.94,4.427431339816229,3.592869163522241,45.44782334132899,1.9316345723796335,2.5066376529591903,2.815110741134074,4.295769589216419,10.996284955760434,20.563817886292565,2.5066376529591903,2.815110741134074,4.295769589216419,10.996284955760434,20.563817886292565
4.505267320658081,0.7055899860572673,19.98,-10.28,3.62,4.18,4.86,5.38,6.2,3.62,4.18,4.86,5.38,6.22,4.112847740215826,4.190291982746903,74.14811707188606,1.5738941696133657,2.329929490042431,2.695423180587248,3.726627845927298,9.223096557075593,25.429927714454223,2.329929490042431,2.695423180587248,3.726627845927298,9.223096557075593,25.429927714454223,4.505133721589583,0.43983117017721257,10.53,-3.38,3.87,4.25,4.76,5.13,5.47,3.87,4.25,4.76,5.13,5.47,4.161243512161415,4.138302006304425,57.52084470657201,1.9451831208750021,2.4704107538887374,2.754170391507061,3.742952974550564,9.42307505193202,25.819388220498325,2.4704107538887374,2.754170391507061,3.742952974550564,9.42307505193202,25.819388220498325
4.7179314576094855,0.810703685951802,17.74,-6.6,3.7,4.34,5.08,5.74,6.94,3.7,4.34,5.08,5.74,6.94,5.083735749442618,5.951273269306849,105.22290431192603,1.7153568082470843,2.424450284842381,2.873169337304353,4.771556884502602,12.764083824916424,29.549159877935423,2.424450284842381,2.873169337304353,4.771556884502602,12.764083824916424,29.549159877935423,4.718058185068811,0.5272550310518241,11.71,-3.46,4.0,4.44,4.99,5.44,6.11,4.0,4.44,4.99,5.44,6.11,5.156279107930437,5.869803285709862,101.17855803509262,2.0795055744927016,2.5727986569678296,2.9263001081971622,4.86150618885184,13.092441338498336,29.550545637513178,2.5727986569678296,2.9263001081971622,4.86150618885184,13.092441338498336,29.550545637513178
4.7309795866649775,0.8457504998915066,22.9,-18.0,3.76,4.36,5.1,5.72,6.7,3.76,4.36,5.1,5.72,6.74,4.718990007563744,5.045963330672211,72.23860972287517,1.57129869593196,2.3819045715045726,2.7921902747865146,4.438422223801458,11.60714944380593,26.71390373427522,2.3819045715045726,2.7921902747865146,4.438422223801458,11.60714944380593,26.71390373427522,4.731065903496308,0.5252511670937638,14.86,-4.64,4.01,4.44,5.02,5.45,5.86,4.01,4.44,5.02,5.45,5.86,4.777630581289342,4.987937369692488,68.8750031622944,2.0749589262090304,2.51610971160009,2.8475578762487346,4.513716469123465,11.734654712096185,26.379612191879158,2.51610971160009,2.8475578762487346,4.513716469123465,11.734654712096185,26.379612191879158
